name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef,unityType
CHEVRE NATURE OU AROMATISE,35446.75,cheese,,,https://www.lachevrerit.fr/public/img/medium/57cd93245f74afa1f1bbc9d52971885d.jpg,0,3.6,,0205010000000,0000099006106,g
YAOURT AUX FRUITS MERE RICHARD,10198.75,cheese,,,https://les-fromagers.com/wp-content/uploads/2023/10/P781-Rocamadour-AOP-35-g-les-fromagers.com--749x749.jpg?v=1730391592,0,2.1,,0000000000198,0000099064583,g
P&C ROCAMADOUR AOP NU 35G,3146.4,cheese,,,https://www.fromages.com/media/cache/attachment/filter/wysiwyg_original/87ce74c18aefc3f765aae166bfe23016/19518/6501823f2d914496694021.png,0,1.2,,2663702000000,0000043439167,g
TOME DE PROVENCE,12235,cheese,,,https://www.fromagerieantony.fr/wp-content/uploads/2023/09/Pelardon-coupe.jpg,0,5.0,,0204410000000,0000099060048,g
PELARDON,6798.75,cheese,,,"https://btd.imgix.net/imgs/stmarcellin-057_2025-02-17-055716_ojoq.jpg?auto=compress,format&q=60&crop=focalpoint&domain=btd.imgix.net&fit=crop&fp-x=0.5&fp-y=0.5&h=600&w=600",0,3.8,,0204510000000,0000099041865,g
ST MARCELLIN MERE RICHARD,6367.68,cheese,,,https://lechariotafromages.fr/143-large_default/saint-felicien-la-mere-richard.jpg,0,4.0,,0204600000000,0000099041874,g
ST FELICIEN MERE RICHARD,9084,cheese,,,https://www.fromageriedechambery.com/Files/130252/Img/03/Sechons-de-chevre-fromagerie-de-chambery.png,0,6.0,,0204590000000,0000099041873,g
SECHONS DE CHEVRE,3970.25,cheese,,,https://www.mescoursesdeproximite.com/images/produits/originale/284214_M1_S1.jpg,0,2.7,,0204530000000,0000099041867,g
FE ST FELICIEN ST MARCEL 260G,9071.99,cheese,,,https://baronmaxwines.com/cdn/shop/files/cheese-crottin-de-chavignol-aop-60g.webp?v=1720540961,0,6.6,,3237054005744,0000019315996,g
CROTTIN DE CHAVIGNOL AOP 60G,3913.05,cheese,,,https://www.cheesyplace.com/cdn/shop/files/6AA08C6C-2D1F-44CA-B1F0-7E0D017846B2_512x512.jpg?v=1742498998,0,2.9,,2663716000000,0000043439418,g
ETOILE QUERCY PAVE DU LOT 180G,6683.6,cheese,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Ch%C3%A8vres_du_Mont-Ventoux_%C3%A0_Sault.jpg,0,4.9,,2663713000000,0000019026731,g
LE VENTOUX,4769.7,cheese,,,https://images.openfoodfacts.org/images/products/647/070/503/2479/front_fr.3.full.jpg,0,3.9,,0204830000000,0000099060040,g
BANON FEUILLE,7121.6,cheese,,,"https://intranet.iberconseil.es/sapcs?get&pVersion=0047&contRep=A8&docId=00155D462B3A1ED880BD1BF8C4DC6EF7&accessMode=r&authId=CN%3DICP,OU%3DI0020503345,OU%3DSAPWebAS,O%3DSAPTrustCommunity,C%3DDE&expiration=99991231235959&secKey=MIIBUgYJKoZIhvcNAQcCoIIBQzCCAT8CAQExCzAJBgUrDgMCGgUAMAsGCSqGSIb3DQEHATGCAR4wggEaAgEBMHAwZDELMAkGA1UEBhMCREUxHDAaBgNVBAoTE1NBUCBUcnVzdCBDb21tdW5pdHkxEzARBgNVBAsTClNBUCBXZWIgQVMxFDASBgNVBAsTC0kwMDIwNTAzMzQ1MQwwCgYDVQQDEwNJQ1ACCAogIQMlCUUBMAkGBSsOAwIaBQCgXTAYBgkqhkiG9w0BCQMxCwYJKoZIhvcNAQcBMBwGCSqGSIb3DQEJBTEPFw0yNTA1MTAyMjAwMDhaMCMGCSqGSIb3DQEJBDEWBBQaNAIEC3Mb1W6%2FtekodXyVeIvXMTAJBgcqhkjOOAQDBC4wLAIUZjw7U7oTaTGBvDEdnjjRp2EVVAsCFHcFHttQhthgsWeUrzywH%2FjRfb7g",0,6.3,,2670978000000,0000099041863,g
ST FELICIEN TENTATION 200G,5264,cheese,,,https://www.fromages-de-chevre.fr/sites/default/files/styles/tres_large/public/images/produits/bouyguette.jpg?itok=_ikwwQ8s,0,4.7,,2663532000000,0000019026713,g
BOUYGUETTE,7410.1,cheese,,,https://ladentduchat.com/cdn/shop/files/saint-felicien-ceramique-984344.jpg?v=1721379182&width=1946,0,6.7,,0204450000000,0000099041859,g
FE ST FELICIEN AFFINE 150G,4157.11,cheese,,,https://images.openfoodfacts.org/images/products/333/230/000/3199/front_fr.12.full.jpg,0,3.8,,3523230034289,0000019676898,g
PICODON AOP MERE RICHARD,3858.85,cheese,,,https://media.carrefour.fr/medias/97f2b475d0f13af6836408782810681c/p_1500x1500/3245390141774-0.jpg,0,3.6,,0204660000000,0000099059676,g
FE P&C ST MARCELLIN IGP 2X80GR,3892.02,cheese,,,https://naturessoulshop.com/cdn/shop/files/Mozzarella.jpg?v=1743192905&width=1100,0,3.7,,3250391104116,0000043434119,g
MOZZARELLA DI BUFFALA,4104.05,cheese,,,https://www.affinord.com/assets/uploads/images/products/bak/2586-Pad0.jpg,0,4.0,,0204880000000,0000099006090,g
XV DU PIC,4780.8,cheese,,,https://images.openfoodfacts.org/images/products/335/815/000/2120/front_fr.22.full.jpg,0,4.8,,0206360000000,0000099031468,g
FE CHEVRE FRAIS 115G,2406.88,cheese,,,https://www.gourmetfoodstore.com/images/PRODUCT/large/2786_3_.jpg,0,2.4,,3358150002120,0000019278690,g
DEMI BRILLAT SAVARIN AFFINE,8743.6,cheese,,,https://www.gourmetfoodworld.com/images/Product/medium/chantal-plasse-st-marcellin-ceramique-1S-1518.jpg,0,8.9,,0204560000000,0000099041870,g
ST MARCELLIN CERAMIQUE,3395.25,cheese,,,https://www.produits-laitiers-aop.fr/wp-content/uploads/2021/09/rigotte-de-condrieu.jpg,0,3.5,,3266360612018,3266360612018,g
RIGOTTE DE CONDRIEU AOP,2368.4,cheese,,,https://www.degustation-fromages.com/wp-content/pic-fromages/QUATRE-VENTS.jpg,0,2.5,,0204620000000,0000099041876,g
QUATRE VENTS,3649.8,cheese,,,https://media.carrefour.fr/medias/28b2c6d5de804a8aac25af92a80595a2/p_1500x1500/3245390031341_0.jpg,0,3.9,,0204650000000,0000099021317,g
FE ROCAMADOUR AOP 2X35G,2593.88,cheese,,,https://preprod.lespetiteslaiteries.fr/wp-content/uploads/2021/05/CHEVRE-FRAIS-FLEURS.png,0,2.8,,3428380002549,0000019026725,g
CHEVRE FRAIS AUX FLEURS,6384,cheese,,,https://www.carredeboeuf.com/300637-medium_default/le-chevrot-cendre-fromage-de-chevre-au-lait-cru-francais-200g.jpg,0,7.0,,0204370000000,0000099041850,g
LE CHEVROT NU 200G,5719.37,cheese,,,https://www.biocoop.fr/media/catalog/product/4/2/4208410228-3422290000022--ste_maure_de_touraine_fermier_aop_250g-lv6000.jpeg,0,6.3,,2663700000000,0000043439409,g
P&C STE MAURE TOURAINE AOP250G,6017.6,cheese,,,https://www.coursesu.com/dw/image/v2/BBQX_PRD/on/demandware.static/-/Sites-digitalu-master-catalog/default/dw77845dbc/8002461872419_A1C1_7163395_S17.png?sw=388&sh=388&sm=fit,0,6.7,,2663715000000,0000043439400,g
FE VIVALDI BURRATA 200G,6407.92,cheese,,,https://www.maitres-laitiers.fr/sites/default/files/2020-04/la-mere-richard-fromage-635x500.jpg,0,7.2,,8002461872419,0000999211445,g
FE MOZZA DI BUFALA BONBON 200G,3755.96,cheese,,,https://i.ebayimg.com/images/g/Ra4AAOSwym1cm-uV/s-l1200.jpg,0,4.5,,2663760000000,0000019076830,g
FE P&C 1/2REBLOCHON AOP LC250G,4021.63,cheese,,,https://www.amisdelaferme.fr/4119-home_default/reblochon-fermier-aop-1-2-250-grs-env.jpg,0,4.8,,2873981000000,0000043434095,g
BUCHE DE CHEVRE,6372.5,cheese,,,https://dairy-products-from-france.com/wp-content/uploads/2014/10/fr39_-buchette_affinee-840x630.jpg,0,7.7,,0205000000000,0000099006105,g
FE BURRATA DE CHEVRE 120G,3052.59,cheese,,,https://wholesale.vannellacheese.com.au/cdn/shop/files/Baby_Burrata_120g_4x30g_Packaged.png?v=1731988590&width=533,0,3.7,,3417881210577,0000019969645,g
