name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef,unityType
CHEVRE NATURE OU AROMATISE,35446.75,cheese,"Ce fromage de chèvre, frais ou parfumé à la thymandre et au miel, se déguste avec un vin blanc pétillant, une pain rustique et des cornichons.","Indulge in our luscious Chevre, where the velvety texture of fresh goat milk cradles notes of subtle tang and aromatic herbs. Pair with a crisp Sauvignon Blanc, artisanal baguette, or a drizzle of honey for an exquisite symphony of flavors.",https://www.lachevrerit.fr/public/img/medium/57cd93245f74afa1f1bbc9d52971885d.jpg,0,3.6,,205010000000,99006106,g
YAOURT AUX FRUITS MERE RICHARD,10198.75,cheese,"Ce YAOURT AUX FRUITS Mère Richard est une explosion de saveurs naturelles et douces, avec une texture onctueuse et délicate. Idéal pour accompagner d'une tranche de pain frais ou d'une cuillerée de confiture, ce dessert gourmand se marie parfaitement avec un vin pétillant fruité ou une tasse de thé aromatique. Un plaisir simple et rafraîchissant pour tous les moments doux-amers de la journée.",Experience pure bliss with Mère Richard's luscious fruit yogurt—a harmonious blend of ripe berries and velvety custard. Pair with crisp white wine or crusty bread for a delightful twist. A treat for both flavor enthusiasts and texture connoisseurs.,https://les-fromagers.com/wp-content/uploads/2023/10/P781-Rocamadour-AOP-35-g-les-fromagers.com--749x749.jpg?v=1730391592,0,2.1,,198,99064583,g
P&C ROCAMADOUR AOP NU 35G,3146.4,cheese,"Ce Rocamadour AOP, pur brebis de Loire, se déguste en fines tranches : une texture onctueuse et croquante à la fois, subtilement épicée. Accordez-le avec un vin blanc sec ou une bière belge, des toasts croustillants et une touche de miel ou confit de fruits rouges pour un moment inoubliable.","P&C ROCAMADOUR AOP NU 35G, a creamy, nutty French goat cheese with a bloomy rind, pairs wonderfully with Côtes du Rhône wine and fig jam.",https://www.fromages.com/media/cache/attachment/filter/wysiwyg_original/87ce74c18aefc3f765aae166bfe23016/19518/6501823f2d914496694021.png,0,1.2,,2663702000000,43439167,g
TOME DE PROVENCE,12235.0,cheese,"Découvrez le Tome de Provence, une pâte cuite riche et onctueuse aux nuances subtiles de noisette et thym. Partenaire idéal d’un vin rouge corsé ou d’une tranche de baguette légèrement grillée pour un plaisir authentique.","Tome de Provence, a traditional Provençal goat's milk cheese, offers a creamy, earthy flavor with hints of thyme and rosemary. Pair it with a dry Provençal wine, rustic bread, or drizzled with honey for a delightful experience.",https://www.fromagerieantony.fr/wp-content/uploads/2023/09/Pelardon-coupe.jpg,0,5.0,,204410000000,99060048,g
PELARDON,6798.75,cheese,"Le Pelardon, ce fromage d'Auvergne, niché dans un terroir volcanique, se dévoile sous une robe légèrement orangée, dissimulant une pâte blanche et grêlée. Son nez, complexe et riche, révèle des nuances de noisette et de foin dru, tandis que sa texture onctueuse s'harmonise à merveille avec un Sancerre ou une mousse au melon. Accompagné d'un pain bis ou d'une quenelle de figatelli, il se déguste avec volupté, sans modération.","Discover the bold, complex flavors of Pelardon—a rich, pungent cow’s milk cheese from Auvergne. Its creamy yet robust texture pairs beautifully with a glass of medium-bodied red wine, crusty bread, and a hint of fig jam or membrillo for a harmonious tasting experience.","https://btd.imgix.net/imgs/stmarcellin-057_2025-02-17-055716_ojoq.jpg?auto=compress,format&q=60&crop=focalpoint&domain=btd.imgix.net&fit=crop&fp-x=0.5&fp-y=0.5&h=600&w=600",0,3.8,,204510000000,99041865,g
ST MARCELLIN MERE RICHARD,6367.68,cheese,"Le Saint-Marcellin Mère Richard est une véritable explosion de douceur et de complexité : sa croûte légèrement craquante révèle un cœur onctueux et parfumé, subtilement épicé. Accompagnez-le d'un Savagnin ou d'un Pinot Gris pour une harmonie divine. Dégustez-le avec du pain frais ou de la confiture de figues pour une explosion de saveurs !","A decadent French gem with a luminous white rind and golden interior, ST Marcellin Mère Richard offers a harmonious blend of creamy texture and mellow elegance. Pair it with a crisp Chablis, a slice of sourdough, and a sprinkle of hazelnuts for an unforgettable experience.",https://lechariotafromages.fr/143-large_default/saint-felicien-la-mere-richard.jpg,0,4.0,,204600000000,99041874,g
ST FELICIEN MERE RICHARD,9084.0,cheese,"Un Saint Félicien Mère Richard doux et onctueux, à la croûte légèrement ondulée, révélant des saveurs lactées et fruitées. Accordez-le avec un vin rouge corsé, une baguette légère ou une compote de pommes pour un moment gourmand.","A luscious semi-soft cheese with a bloomy rind, ST FELICIEN MERE RICHARD offers creamy notes of caramel and nutmeg. Pair it with a crisp Chardonnay, buttery brioche, and a drizzle of honey for an unforgettable experience.",https://www.fromageriedechambery.com/Files/130252/Img/03/Sechons-de-chevre-fromagerie-de-chambery.png,0,6.0,,204590000000,99041873,g
SECHONS DE CHEVRE,3970.25,cheese,"Découvrez notre Sechons de Chèvre, une pâte et onctueuse, légèrement relevée par des herbes subtiles. Idéale avec un vin blanc frais et une baguette croustillante, ou accompagnée de miel ou de confiture de figues pour un délice raffiné.","Savor our Sechons de Chevre, a decadent goat cheese with a luscious texture and nutty, floral notes. Pair it with a glass of Merlot, crusty bread, a drizzle of honey, or a sprinkle of walnuts for a delightful experience.",https://www.mescoursesdeproximite.com/images/produits/originale/284214_M1_S1.jpg,0,2.7,,204530000000,99041867,g
FE ST FELICIEN ST MARCEL 260G,9071.99,cheese,"Félix St Marcel 260g : une explosion de saveurs douces et pétillantes, alliant la douceur d'un noisette à l'acidité subtile. Idéalement accompagné d'un vin rouge du Savoie et d'une tartine de miel ou de confit de figue.","Indulge in this luscious French gem, where rich creaminess meets a harmonious blend of nutty, earthy, and subtly fruity notes—perfectly paired with a robust red wine, crusty baguette, or a drizzle of honey.",https://baronmaxwines.com/cdn/shop/files/cheese-crottin-de-chavignol-aop-60g.webp?v=1720540961,0,6.6,,3237054005744,19315996,g
CROTTIN DE CHAVIGNOL AOP 60G,3913.05,cheese,"Ce Crottin de Chavignol AOP, issu des collines de Loire, se démarque par sa texture crémeuse et son parfum subtil d'herbes et de fruits secs. Idéalement associé à un vin pétillant ou un pain chaud, il ravira les amateurs de fromages raffinés.","Crottin de Chavignol AOP 60g is a luscious, tangy goat cheese from France's Loire Valley, with a soft, bloomy rind that melts into creamy waves of flavor. Pair it with a glass of red wine, such as a Cabernet Franc, and complement with a crusty baguette or a dollop of honey for an unforgettable experience.",https://www.cheesyplace.com/cdn/shop/files/6AA08C6C-2D1F-44CA-B1F0-7E0D017846B2_512x512.jpg?v=1742498998,0,2.9,,2663716000000,43439418,g
