name,capacity,category,descriptionFr,descriptionEn,photoThumbnails,popularityScore,price,subCategories,eanCode,itemHeightRef
IGP ALPILLES ROSE TRADITION,33831,wine,,,https://www.vinatis.co.uk/96467-detail_default/alpilles-rose-2024-domaine-de-valdition.png,0,10.5,,3760076070020,0000099056669
VAL DE L OULE ROSE TENDRESSE,20386.33,wine,,,https://botanic-botanic-storage.omn.proximis.com/Imagestorage/imagesSynchro/500/1600/f079c8633f78fc16c39ae23af7647a7acc1cfeca_1776766.png,0,7.0,,3435600000216,0000099037387
GRAND MAS DE LANSAC BLAN,13666.05,wine,,,https://images.vivino.com/labels/4j5E5AwLQSu1ZkvlNo9bSA.jpg,0,5.1,,3760059140030,0000099016142
IGP VAR GRIS GRIS DE ROSE,13521.48,wine,,,https://vinessen.fr/wp-content/uploads/2018/06/gris-de-rose.jpg,0,5.1,,3760146021815,0000099005260
GRAND MAS LANSAC ROSE,12805.32,wine,,,https://static.alpillesenprovence.com/wp-content/uploads/external/dc5cb901283224184195d91e5ec91bbe-19994979-710x1000.jpg,0,4.9,,3760059140023,0000099016143
AOP FOLIE EN PROVENCE 2023 COT,13005.9,wine,,,https://www.magnumdevin.com/3021-large_default/magnum-rose-coteaux-d-aix-en-provence-roseblood-cuvee-1489-chateau-d-estoublon.jpg,0,5.0,,3760092070349,0000099064698
LANSAC ROSE 5L,37964.1,wine,,,https://static.pourdebon.com/images/500-370/pourdebon-image-bucket-prod/5a804a4c65589964867fd00a0f1544ab.jpeg,0,15.7,,3760059140078,0000099016147
LAGOY VIN ROSE IGP ALPILLES BI,21166,wine,,,https://www.belvibio.com/1139301-product_small/vin-allusion-bio-rose-igp-mediterranee-domaine-atillon-75cl.jpg,0,9.1,,3760063300321,0000099010236
LE GRIS MAS MARIGNAN,11146.66,wine,,,https://images.vivino.com/labels/ooLlCehGSrmGHX64gQGVRA.jpg,0,4.8,,3538650074333,0000099066408
LUBERON LES CLAPES,13726.86,wine,,,https://img.e-boissons.com/picture/product/CBO/luberon-les-clapes-blanc-2023-cave-de-bonnieux-18544-1-1R9S.png,0,6.6,,3760028200048,0000099060230
