wineITM8,cheeseITM8,descriptionFr,descriptionEn,score,id
99005260,99006106,"Ce fromage de chèvre frais ou parfumé, avec sa texture veloutée et ses notes subtiles de tang et d'herbes aromatiques, se marie parfaitement au Gris de Rose IGP Var. Le vin rosé apporte une touche florale et fruitée qui met en valeur la douceur et la complexité du fromage.","The luscious Chevre pairs beautifully with the crisp Gris de Rose IGP Var Rosé, as its fresh texture and subtle tang are enhanced by the wine's floral citrus notes. The rosé's vibrant fruitiness lifts the cheese's creaminess, creating a harmonious balance of flavors.",0,1
99056669,99006106,Un accord délicieux et harmonieux entre ces deux produits de qualité.,A delicious and harmonious pairing between these two quality products.,0,2
99016142,99006106,"Ce fromage de chèvre frais ou parfumé à la thymandre et au miel se marie parfaitement avec le vin pétillant Grand Mas de Lansac Blanc, offrant une explosion de fraîcheur et de complexité. Leurs saveurs s'harmonisent pour un moment gourmand et rafraîchissant.","The fresh or aromatic goat cheese pairs wonderfully with the crisp and mineral-driven Grand Mas de Lansac Blanc, creating a delightful balance of creaminess and brightness. Their flavors harmonize beautifully for a refreshing and indulgent pairing.",0,3
99016147,99006106,"Le fromage de chèvre frais ou parfumé se marie à merveille avec le vin rosé Lansac, offrant une harmonie entre la douceur du fromage et la fraîcheur fruitée du rosé. Accompagnez ce pairing d'une tranche de pain rustique et des cornichons pour un moment gourmand.","The fresh or aromatic goat cheese pairs wonderfully with the fruity and refreshing Lansac Rosé, creating a delightful balance between creamy texture and subtle herbs. Pair this combination with a rustic baguette and pickles for a light yet satisfying meal.",0,4
99037189,99006106,"Ce fromage de chèvre frais ou parfumé se marie parfaitement avec le vin pétillant Etoile des Alpilles IGP Blanc, offrant une harmonie entre la douceur du fromage et la minéralité du vin.","The fresh or aromatic goat cheese pairs wonderfully with the crisp Etoile des Alpilles IGP Blanc, balancing the tangy richness of the cheese with the wine's bright acidity and floral notes.",0,5
99056669,43439167,"Le Rocamadour AOP se marie à merveille avec le vin rosé Alpilles Tradition, offrant un équilibre entre sa texture onctueuse et la fraîcheur fruitée du rosé.","The creamy and nutty Rocamadour AOP pairs exceptionally well with the light and refreshing Alpilles Rosé Tradition, balancing its texture with the wine's bright acidity and subtle complexity.",0,6
99010236,43439167,"Ce Rocamadour AOP, pur brebis de Loire, se marie à merveille avec le LAGOY VIN ROSE IGP Alpilles BI. La texture onctueuse et croquante du fromage met en valeur la fraîcheur minérale et les nuances aromatiques complexes du vin rosé.","The creamy, nutty Rocamadour AOP pairs beautifully with the luminous Provence rosé. Their complementary notes of wild berries and subtle herbs create a harmonious pairing that highlights the freshness and complexity of both elements.",0,7
99030361,43439167,"Le Rocamadour AOP, avec sa texture onctueuse et épicée, se marie parfaitement au Prosecco Spumante DOC Botter. Le contraste entre la douceur du fromage et le pétillant fruité du vin crée un duo délicieux.","Pairing the creamy nuttiness of P&C ROCAMADOUR AOP with the effervescent Prosecco Spumante DOC Botter is a delightful explosion of flavors, balancing rich and light elements seamlessly.",0,8
99037189,43439167,"Le Rocamadour AOP, avec sa texture onctueuse et croquante, se marie parfaitement au frais et aromatique du vin Etoile des Alpilles IGP Blanc. Ce pairing met en valeur les notes subtiles d'épice du fromage tout en apportant une touche rafraîchissante.","The creamy, nutty Rocamadour AOP pairs beautifully with the bright, floral Etoile des Alpilles IGP Blanc. The wine's mineral freshness complements the cheese's delicate spiciness, creating a harmonious pairing.",0,9
99028421,43439167,"Le Rocamadour AOP, avec sa texture onctueuse et épicée, s'accorde parfaitement avec le rosé MAS DAME LA GOURMANDE pour une harmonie subtile de saveurs fruitées et douces.","The nutty, creamy Rocamadour pairs elegantly with the fresh strawberry notes of the MAS DAME LA GOURMANDE Rosé, creating a sophisticated match for light bites or appetizers.",0,10
52337510,43439167,"Ce pairing entre le Rocamadour AOP et le Merlot est une alliance harmonieuse où la texture onctueuse du fromage se marie parfaitement avec les arômes fruités du vin, créant un équilibre délicieux.","The pairing of the Rocamadour AOP and Merlot is a perfect match where the creamy texture of the cheese complements the fruity layers of the wine, creating a delightful balance.",0,11
99010235,43439167,"Le Rocamadour AOP, avec sa texture onctueuse et croquante, s'accorde parfaitement avec le vin rouge IGP Cuvée Alpilles Bio 2, offrant un équilibre entre douceur fruitée et complexité épicée.","The creamy ROCAMADOUR AOP pairs beautifully with the vibrant Cuvée Alpilles Bio 2 red wine, balancing nutty richness with fruity notes and mineral undertones.",0,12
99056669,99060048,"Le Tome de Provence, avec sa texture onctueuse et ses nuances de noisette et thym, se marie parfaitement au rosé IGP Alpilles Tradition. Ce dernier, frais et minéral, met en valeur les arômes terreux du fromage tout en apportant une légèreté à ce moment gourmand.","The Tome de Provence cheese pairs wonderfully with the light-bodied IGP Alpilles Rose Tradition wine. The fresh acidity and strawberry notes of the rosé complement the subtle thyme and nutty flavors of the cheese, creating a harmonious balance.",0,13
99064698,99060048,"Le Tome de Provence se marie parfaitement avec le vin AOP Folie en Provence 2023 COT, créant un équilibre harmonieux entre les notes terreuses et herbacées du fromage et la richesse fruitée du vin. Ce pairing met en valeur les arômes communs de thym et de romarin, offrant une expérience gustative authentiquement provençale.","The Tome de Provence cheese pairs wonderfully with the AOP Folie en Provence 2023 COT wine, balancing the earthy, herbaceous notes of the cheese with the fruity richness of the wine. Their shared aromatic elements of thyme and rosemary create a harmonious pairing that enhances both ingredients' unique qualities.",0,14
99060230,99060048,"Le Tome de Provence, avec sa pâte onctueuse et ses notes de noisette et thym, se marie parfaitement au Luberon Les Clapes, un vin rouge corsé aux arômes de mûre et cacao. Cette union crée une harmonie subtile entre le creaminess du fromage et la richesse du vin.","The creamy, earthy Tome de Provence pairs wonderfully with the robust Luberon Les Clapes red wine, whose dark berry and spicy notes complement the cheese's subtle thyme and nutty flavors. Together, they create a delightful balance of bold and delicate.",0,15
99016911,99060048,"Le Tome de Provence, avec sa texture onctueuse et ses notes de noisette et thym, se marie à merveille avec le Tradition 2023 AOP BIO. Ce vin, richement parfumé, met en valeur les arômes du fromage tout en apportant une complexité équilibrée.","The creamy Tome de Provence cheese with its hazelnut and thyme notes pairs perfectly with the robust Tradition 2023 AOP BIO wine. Their combination creates a harmonious balance, enhancing each other's flavors for an exceptional pairing.",0,16
99037386,99060048,Un accord délicieux et harmonieux entre ces deux produits de qualité.,A delicious and harmonious pairing between these two quality products.,0,17
99056669,99041865,"Le Pelardon, avec ses notes de noisette et de foin, s'accorde parfaitement avec le rosé Alpilles Tradition, dont les arômes frais de fraises sauvages et minéraux apportent une touche rafraîchissante et équilibrée.","The bold flavors of Pelardon complement the fresh acidity and subtle complexity of the Alpilles Rosé, with its wild strawberry notes balancing the cheese's richness for a harmonious pairing.",0,18
99037387,99041865,"Le Pelardon, avec sa texture onctueuse et son nez complexe, se marie parfaitement au Val de L'Oule Rosé Tendresse, offrant un équilibre subtil entre ses arômes fruités et la richesse du fromage.","Pelardon's bold, robust flavors pair seamlessly with the delicate fruitiness of Val de L'Oule Rosé Tendresse, creating a harmonious balance that highlights both their unique textures and complementary profiles.",0,19
99005260,99041865,"Le Pelardon, avec sa pâte grêlée et son nez complexe, se marie à merveille avec le rosé perlé du Gris de Rose, offrant une harmonie entre ses notes de noisette et les nuances florales du vin.","The bold, earthy flavors of Pelardon complement the delicate floral aromas of the Rosé Gris de Rose, creating a perfect pairing where their textures and profiles enhance one another.",0,20
99064698,99041865,"Ce pairing met en valeur la complexité et le caractère audacieux de chaque ingrédient. Le vin sublimine les nuances du fromage, tandis que le Pelardon apporte une dimension douce qui équilibre parfaitement la structure du COT.","This powerful pairing showcases the bold flavors of both the cheese and wine in perfect harmony. The wine's rich fruitiness complements the cheese's robust texture, creating a dynamic interplay of taste and aroma.",0,21
99066408,99041865,"Le Pelardon, un fromage corsé et pénétrant, s'accorde parfaitement avec le Gris Mas Marignan, un vin rouge subtil et équilibré, offrant une harmonie de saveurs entre les notes fruitées du vin et la richesse du fromage.","The bold and complex Pelardon cheese pairs beautifully with the sophisticated Gris Mas Marignan wine, creating a perfect balance between the cheese's robust flavors and the wine's refined fruitiness.",0,22
99056669,99041874,"Le Saint-Marcellin Mère Richard, avec sa croûte légèrement craquante et son cœur onctueux, se marie parfaitement avec le rosé IGP Alpilles Tradition, offrant une harmonie de douceur et de complexité aromatique.","The ST Marcellin Mère Richard cheese pairs wonderfully with the delicate IGP Alpilles Rosé Tradition wine, blending creamy richness with fresh acidity for a balanced and elegant experience.",0,23
99016142,99041874,"Ce pairing est une véritable explosion de saveurs : le Saint-Marcellin Mère Richard se déguste à merveille avec le Grand Mas de Lansac Blanc, offrant un équilibre harmonieux entre la douceur du fromage et la vivacité du vin.","This pairing is a delightful explosion of flavors: the ST Marcellin Mère Richard pairs perfectly with the Grand Mas de Lansac Blanc, offering a harmonious balance between the cheese's creaminess and the wine's crisp acidity.",0,24
99005260,99041874,Ce pairing allie subtilement le Saint-Marcellin Mère Richard et le rosé Gris de Rose pour une explosion de saveurs équilibrée.,"The pairing of ST Marcellin Mère Richard and IGP Var Rosé Gris De Rose creates an elegant harmony, complementing each other's delicate flavors perfectly.",0,25
99016143,99041874,"Le Saint-Marcellin Mère Richard se marie à merveille avec le Grand Mas Lansac Rosé, offrant une harmonie entre la douceur onctueuse du fromage et la fraîcheur équilibrée du vin rosé.","The ST Marcellin Mère Richard pairs wonderfully with the Grand Mas Lansac Rosé, creating a perfect balance between the cheese's creamy texture and the wine's refreshing and delicate flavors.",0,26
99010236,99041874,"Le Saint-Marcellin Mère Richard se marie parfaitement avec le LAGOY VIN ROSE IGP Alpilles BI, où la douceur onctueuse du fromage met en valeur les notes fruitées et herbacées du rosé, créant un équilibre harmonieux entre texture et saveurs.","The ST Marcellin Mère Richard pairs wonderfully with the LAGOY VIN ROSE IGP Alpilles BI, where the cheese's creamy richness complements the wine's fruity and herby notes, resulting in a refined and balanced pairing.",0,27
99056669,99041873,"Le Saint Félicien Mère Richard, avec ses notes lactées et fruitées, se marie parfaitement avec le rosé IGP Alpilles Tradition, offrant un équilibre entre douceur et fraîcheur.","The luscious ST FELICIEN MERE RICHARD cheese pairs wonderfully with the refreshing IGP ALPILLES ROSE TRADITION wine, creating a harmonious balance of creamy richness and fruity brightness.",0,28
99064698,99041873,"Le Saint Félicien Mère Richard, avec ses notes lactées et fruitées, s'accorde parfaitement avec le vin AOP Folie en Provence 2023 COT, offrant un équilibre entre douceur et complexité aromatique.","The ST FELICIEN MERE RICHARD cheese pairs wonderfully with the AOP FOLIE EN PROVENCE 2023 COT wine, balancing creamy notes with rich fruit and herbaceous complexity.",0,29
